id_provincia_indec,puestos
2,5448
2,114
2,571
2,-99
2,2701
2,165
2,359
2,1384
2,15326
2,3557
2,362
2,7420
2,13601
2,3843
2,702
2,3109
2,4291
2,1124
2,8412
2,9735
2,4851
2,2026
2,2275
2,5389
2,3851
2,3797
2,3250
2,5006
2,694
2,1665
2,1793
2,1175
2,3368
2,43
2,94
2,1553
2,87
2,16707
2,7136
2,5563
2,11406
2,50704
2,63487
2,26192
2,1648
2,1875
2,13090
2,3685
2,7886
2,33504
2,7426
2,4773
2,9998
2,11635
2,34896
2,3311
2,24658
2,24348
2,5630
2,18107
2,17418
2,14471
2,7258
2,1858
2,9260
2,1537
2,206
2,1513
2,6259
2,6029
2,15436
2,13129
2,25003
2,67858
2,43358
2,3424
2,437
2,1626
2,577
2,3291
2,6971
2,62302
2,1032
2,8108
2,2798
6,432
6,-99
6,-99
6,3
6,126
6,4
6,7
6,-99
6,11
6,5
6,6
6,3
6,6
6,-99
6,40
6,-99
6,4
6,17
6,-99
6,3
6,-99
6,-99
6,4
6,71
6,-99
6,16
6,44
6,3
6,43
6,234
6,207
6,71
6,4
6,5
6,33
6,23
6,-99
6,9
6,8
6,7
6,17
6,8
6,3
6,23
6,44
6,9
6,5
6,-99
6,-99
6,3
6,3
6,3
6,11
6,7
6,14
6,22
6,14
6,180
6,20
6,8
6,6
6,-99
6,70
6,-99
6,9
6,-99
6,370
6,-99
6,-99
6,-99
6,106
6,-99
6,-99
6,-99
6,-99
6,-99
6,-99
6,-99
6,-99
6,4
6,-99
6,-99
6,-99
6,-99
6,-99
6,-99
6,-99
6,27
6,16
6,7
6,4
6,16
6,128
6,151
6,92
6,4
6,6
6,14
6,11
6,10
6,-99
6,4
6,10
6,10
6,9
6,20
6,21
6,9
6,3
6,-99
6,-99
6,9
6,-99
6,5
6,8
6,4
6,121
6,28
6,-99
6,-99
6,9
6,-99
6,20
6,3
6,3
6,299
6,74
6,3
6,-99
6,3
6,10
6,4
6,3
6,16
6,4
6,17
6,5
6,10
6,4
6,-99
6,4
6,3
6,-99
6,16
6,-99
6,9
6,4
6,8
6,10
6,232
6,106
6,67
6,3
6,-99
6,-99
6,26
6,-99
6,15
6,9
6,5
6,-99
6,11
6,8
6,4
6,22
6,13
6,5
6,-99
6,3
6,11
6,11
6,12
6,10
6,102
6,38
6,19
6,3
6,3
6,29
6,3
6,-99
6,319
6,4
6,37
6,52
6,5
6,29
6,23
6,3768
6,579
6,33
6,804
6,907
6,1012
6,228
6,728
6,789
6,208
6,891
6,620
6,1310
6,1309
6,740
6,1938
6,306
6,736
6,740
6,1158
6,112
6,344
6,247
6,111
6,428
6,4
6,11
6,445
6,3
6,2891
6,1988
6,1654
6,1257
6,4569
6,9132
6,6404
6,195
6,105
6,1698
6,608
6,872
6,4341
6,334
6,159
